t_hover,E_req_J,exceeds_avail
4.130329178002078550e+01,5.488283668389240047e+05,0.000000000000000000e+00
7.428947121694741895e+01,6.862268676149344537e+05,1.000000000000000000e+00
5.853933411321360580e+01,6.206222640503554139e+05,1.000000000000000000e+00
4.709218116855237213e+01,5.729410327104979660e+05,0.000000000000000000e+00
5.391751716967097963e+01,6.013708463431859855e+05,0.000000000000000000e+00
5.518580126003510600e+01,6.066536749565239297e+05,1.000000000000000000e+00
3.176635605404233331e+01,5.091038308934329543e+05,0.000000000000000000e+00
4.818126193164114568e+01,5.774774193617170677e+05,0.000000000000000000e+00
4.710269143170074813e+01,5.729848114816076122e+05,0.000000000000000000e+00
6.290352249711317967e+01,6.388005723991123959e+05,1.000000000000000000e+00
3.517742814787912664e+01,5.233120902230174979e+05,0.000000000000000000e+00
4.974061148135875499e+01,5.839726332353522303e+05,0.000000000000000000e+00
4.460074484642912296e+01,5.625633648119410500e+05,0.000000000000000000e+00
6.951549128648184706e+01,6.663416400324264541e+05,1.000000000000000000e+00
6.590376315993482592e+01,6.512975810274425894e+05,1.000000000000000000e+00
5.253279484713782210e+01,5.956030134399869712e+05,0.000000000000000000e+00
4.624406742903559575e+01,5.694083545317486860e+05,0.000000000000000000e+00
5.512506551832470336e+01,6.064006902217962779e+05,1.000000000000000000e+00
7.298873421829377151e+01,6.808088617540062405e+05,1.000000000000000000e+00
6.679998210094623801e+01,6.550306335046925815e+05,1.000000000000000000e+00
4.164377278374642799e+01,5.502465844152901554e+05,0.000000000000000000e+00
3.562669302382643366e+01,5.251834291128247278e+05,0.000000000000000000e+00
3.688665152055981622e+01,5.304315788363227621e+05,0.000000000000000000e+00
6.028647968403565471e+01,6.278997113378598588e+05,1.000000000000000000e+00
3.466485682418751679e+01,5.211770587456477806e+05,0.000000000000000000e+00
3.381422984975652213e+01,5.176339121005526977e+05,0.000000000000000000e+00
4.192865484479655436e+01,5.514332137477688957e+05,0.000000000000000000e+00
6.769338535297484327e+01,6.587519576929593459e+05,1.000000000000000000e+00
6.761036132524867526e+01,6.584061347715817392e+05,1.000000000000000000e+00
7.027970044646338010e+01,6.695248274961801944e+05,1.000000000000000000e+00
6.659018125821600620e+01,6.541567426284304820e+05,1.000000000000000000e+00
5.654568207930106638e+01,6.123180346668828279e+05,1.000000000000000000e+00
3.861482999083511913e+01,5.376300217885668389e+05,0.000000000000000000e+00
7.710301110301685412e+01,6.979462048894625623e+05,1.000000000000000000e+00
4.444724554616836087e+01,5.619239887433568947e+05,0.000000000000000000e+00
4.865574501665550855e+01,5.794538005503662862e+05,0.000000000000000000e+00
7.982894983231169306e+01,7.093006539649772458e+05,1.000000000000000000e+00
3.125633892288040627e+01,5.069794384846144821e+05,0.000000000000000000e+00
3.893561079558737958e+01,5.389661814288477181e+05,0.000000000000000000e+00
5.519897887422618510e+01,6.067085641393442638e+05,1.000000000000000000e+00
4.087042411662485364e+01,5.470253278389470652e+05,0.000000000000000000e+00
4.032967895057014829e+01,5.447729428587509319e+05,0.000000000000000000e+00
7.625646047141744077e+01,6.944200375794486608e+05,1.000000000000000000e+00
6.918440502814362958e+01,6.649625547215557890e+05,1.000000000000000000e+00
5.556127746942299694e+01,6.082176593017131090e+05,1.000000000000000000e+00
4.829777914339526035e+01,5.779627526280393358e+05,0.000000000000000000e+00
7.667020579852699314e+01,6.961434256352443481e+05,1.000000000000000000e+00
4.931015409802603955e+01,5.821796338602361502e+05,0.000000000000000000e+00
5.344954779043931836e+01,5.994215969237902900e+05,0.000000000000000000e+00
5.071164717166852398e+01,5.880173225666424260e+05,0.000000000000000000e+00
5.981095697460782645e+01,6.259189997648430290e+05,1.000000000000000000e+00
